epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
84,6108.82,0.78552,1.36452,0.63175,1.04254,0,0.73134,0.69244,0.70786,0.46194,0.7586,0.69006,0.71755,0.38545,1.18418,3.5958,1.07555,1.30517,0,0.000222875,0.000222875,0.000222875
85,6181.75,0.76198,1.34365,0.61418,1.02519,0,0.70793,0.69636,0.70037,0.45732,0.70921,0.72171,0.71345,0.38531,1.17434,3.6019,1.06746,1.29952,0,0.0002105,0.0002105,0.0002105
86,6253.93,0.76247,1.33207,0.61208,1.03502,0,0.73726,0.73636,0.72626,0.47474,0.74465,0.72604,0.73012,0.39206,1.17735,3.60107,1.01712,1.30106,0,0.000198125,0.000198125,0.000198125
87,6327.4,0.75991,1.34665,0.60841,1.02619,0,0.75024,0.69661,0.72859,0.4677,0.75975,0.70419,0.72751,0.39464,1.20504,3.48404,1.06203,1.33524,0,0.00018575,0.00018575,0.00018575
88,6401.42,0.75788,1.34988,0.61138,1.03288,0,0.7552,0.70352,0.71404,0.46179,0.77139,0.71946,0.71975,0.38779,1.19032,3.5941,1.04771,1.31443,0,0.000173375,0.000173375,0.000173375
89,6474.13,0.75838,1.35129,0.60552,1.03039,0,0.74052,0.74403,0.72954,0.47236,0.75136,0.75042,0.73338,0.39688,1.18225,3.58851,1.00489,1.3173,0,0.000161,0.000161,0.000161
90,6547.53,0.75297,1.32086,0.59336,1.02491,0,0.73491,0.68054,0.71807,0.46366,0.74922,0.69317,0.72287,0.39373,1.17262,3.50394,1.00972,1.31398,0,0.000148625,0.000148625,0.000148625
91,6616.42,0.73718,1.21907,0.59943,1.03934,0,0.76418,0.69763,0.72667,0.4652,0.78316,0.70487,0.72905,0.38917,1.18112,3.67706,1.00546,1.31428,0,0.00013625,0.00013625,0.00013625
92,6683.45,0.71343,1.16976,0.55247,1.02615,0,0.74379,0.70611,0.71744,0.46539,0.75309,0.72285,0.71715,0.37949,1.18138,3.84278,1.04736,1.31241,0,0.000123875,0.000123875,0.000123875
93,6748.82,0.70353,1.15994,0.54424,1.02066,0,0.72039,0.72882,0.7254,0.48355,0.75481,0.71165,0.71984,0.40051,1.14985,3.68242,1.035,1.28835,0,0.0001115,0.0001115,0.0001115
94,6815.01,0.68801,1.13746,0.52877,1.00824,0,0.76236,0.70026,0.71784,0.48374,0.7687,0.70352,0.72096,0.39704,1.15092,3.67765,1.05051,1.28971,0,9.9125e-05,9.9125e-05,9.9125e-05
95,6880.52,0.68794,1.13621,0.52641,1.01766,0,0.72095,0.71326,0.71644,0.48157,0.72474,0.71529,0.7097,0.39798,1.13907,3.63452,1.05442,1.27338,0,8.675e-05,8.675e-05,8.675e-05
96,6945.7,0.67937,1.13638,0.51699,1.01187,0,0.73068,0.72509,0.72442,0.48413,0.74595,0.70535,0.71666,0.40022,1.13839,3.6554,1.03135,1.2794,0,7.4375e-05,7.4375e-05,7.4375e-05
97,7011.8,0.67325,1.12851,0.51446,1.00822,0,0.72024,0.71146,0.72083,0.48429,0.76319,0.70039,0.72616,0.39972,1.14294,3.71165,0.9995,1.2883,0,6.2e-05,6.2e-05,6.2e-05
98,7076.5,0.67453,1.12955,0.51421,1.00742,0,0.73175,0.72326,0.71598,0.4771,0.74579,0.71536,0.71652,0.3927,1.15281,3.69011,1.03358,1.29406,0,4.9625e-05,4.9625e-05,4.9625e-05
99,7142.6,0.65732,1.10603,0.50572,0.99853,0,0.73503,0.70604,0.71804,0.4834,0.75052,0.70915,0.71902,0.39776,1.15419,3.69178,1.00427,1.29993,0,3.725e-05,3.725e-05,3.725e-05
100,7207.91,0.66332,1.11351,0.50661,1.00615,0,0.75417,0.71065,0.72537,0.48895,0.76302,0.71195,0.72829,0.40407,1.14605,3.66032,1.01056,1.29907,0,2.4875e-05,2.4875e-05,2.4875e-05
