epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
82,8045.68,0.80433,1.41264,0.67171,1.05379,0,0.71686,0.72493,0.73709,0.48406,0.72312,0.71017,0.71327,0.39528,1.16424,2.66133,1.05315,1.27987,0,0.0001981,0.0001981,0.0001981
83,8133.48,0.80254,1.43305,0.66949,1.05782,0,0.72314,0.72906,0.74183,0.48422,0.71225,0.72614,0.71358,0.38569,1.17499,2.75292,1.02557,1.26828,0,0.0001882,0.0001882,0.0001882
84,8221.74,0.81779,1.43891,0.68915,1.06181,0,0.70944,0.76606,0.74822,0.48709,0.705,0.75377,0.72786,0.40711,1.16864,2.61789,1.00692,1.27315,0,0.0001783,0.0001783,0.0001783
85,8310.94,0.79978,1.41818,0.67347,1.05292,0,0.71664,0.72744,0.7332,0.47835,0.71314,0.723,0.7158,0.38993,1.19794,2.57206,1.05806,1.29039,0,0.0001684,0.0001684,0.0001684
86,8400.56,0.79873,1.40845,0.67577,1.04955,0,0.75221,0.69035,0.73786,0.48761,0.74103,0.67718,0.71401,0.39091,1.17348,2.65516,1.04453,1.26822,0,0.0001585,0.0001585,0.0001585
87,8490.46,0.79814,1.391,0.65664,1.0463,0,0.70912,0.75347,0.75038,0.49625,0.71388,0.74705,0.73279,0.41144,1.15964,2.69639,1.01938,1.27034,0,0.0001486,0.0001486,0.0001486
88,8578.83,0.78642,1.42083,0.6565,1.05094,0,0.69981,0.74746,0.74338,0.48227,0.73905,0.70532,0.72214,0.39994,1.18046,2.62496,1.01905,1.28374,0,0.0001387,0.0001387,0.0001387
89,8666.72,0.797,1.4149,0.6684,1.05035,0,0.73053,0.72222,0.75878,0.49625,0.72681,0.72525,0.73344,0.40414,1.16376,2.66339,1.01674,1.27355,0,0.0001288,0.0001288,0.0001288
90,8755.93,0.7966,1.41247,0.65973,1.04635,0,0.70886,0.74414,0.76313,0.50267,0.72404,0.69721,0.7274,0.40432,1.14288,2.78316,1.01758,1.25808,0,0.0001189,0.0001189,0.0001189
91,8841.02,0.77174,1.27367,0.65049,1.06761,0,0.7511,0.73318,0.75313,0.49355,0.76632,0.7036,0.73522,0.4073,1.15638,2.71801,1.01886,1.27646,0,0.000109,0.000109,0.000109
92,8922.26,0.75224,1.22793,0.60714,1.05501,0,0.73563,0.72585,0.76318,0.50463,0.7645,0.69884,0.73593,0.41496,1.14891,2.6701,1.02069,1.26399,0,9.91e-05,9.91e-05,9.91e-05
93,9003.45,0.73498,1.22578,0.58392,1.04069,0,0.72808,0.75254,0.76337,0.50541,0.72821,0.73914,0.74503,0.41723,1.14023,2.67702,1.00614,1.26525,0,8.92e-05,8.92e-05,8.92e-05
94,9086.7,0.73681,1.21999,0.58387,1.0422,0,0.73759,0.7101,0.76241,0.51245,0.73854,0.70455,0.7446,0.41797,1.12601,2.66638,1.00147,1.25504,0,7.93e-05,7.93e-05,7.93e-05
95,9168.14,0.72223,1.1967,0.57747,1.03427,0,0.73268,0.72242,0.7547,0.50497,0.72201,0.71411,0.74329,0.41748,1.12172,2.62582,1.01477,1.25295,0,6.94e-05,6.94e-05,6.94e-05
96,9249.45,0.72146,1.19921,0.58509,1.03532,0,0.72145,0.72487,0.76532,0.51084,0.79546,0.65261,0.75515,0.42441,1.12487,2.61865,1.00302,1.25647,0,5.95e-05,5.95e-05,5.95e-05
97,9332.35,0.70858,1.1733,0.55873,1.02557,0,0.70157,0.75387,0.75887,0.51096,0.70076,0.73345,0.74585,0.42415,1.11795,2.6562,1.02765,1.24696,0,4.96e-05,4.96e-05,4.96e-05
98,9413.54,0.70052,1.1985,0.55947,1.02591,0,0.71979,0.74792,0.77109,0.51425,0.71583,0.73438,0.75601,0.42407,1.12221,2.67781,1.008,1.25174,0,3.97e-05,3.97e-05,3.97e-05
99,9495.62,0.70878,1.1761,0.55689,1.02817,0,0.70961,0.75883,0.76809,0.50929,0.71877,0.73917,0.75023,0.41693,1.1333,2.70589,1.02332,1.25655,0,2.98e-05,2.98e-05,2.98e-05
100,9578.47,0.69172,1.16639,0.55062,1.01668,0,0.72345,0.77708,0.76777,0.50728,0.75349,0.68815,0.74861,0.41966,1.12107,2.67808,1.01296,1.25116,0,1.99e-05,1.99e-05,1.99e-05
